FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
14,2024,1,974147,16470033,7600,C,F,F,W,F,1072,0,1.287,9,0,99.9,14.1,2073.4252,SR 570 EB,SR540/WINTER LAKE RD,16,Polk,8,2073.42519599875
15,2024,2,290248,29640000,1100,F,F,F,F,D,196,0,14.409,9,0,54.1,17.8,23185.573,SW CR-18,US41/US441/SR-25,29,Columbia,2,23185.572992368
16,2024,7,159115,15000511,4800,C,F,F,F,F,283,0,0.615,9,0,53.4,5.9,989.9435,PINELLAS BAYWAY S,END OF PAVEMENT,15,Pinellas,7,989.943466070469
17,2024,7,159160,15000420,2800,C,F,F,F,F,165,0,0.845,9,0,53.4,5.9,1374.2322,HIGHPOINT DR,CR-611/EAST LAKE RD,15,Pinellas,7,1374.23220238403
18,2024,4,940732,94530000,7400,C,F,F,F,2,1613,4.359,4.821,9,0,54.9,21.8,743.603,N/A,N/A,94,St. Lucie,4,743.60301814334
19,2024,1,164751,16620000,9500,C,F,F,F,A,1995,0,9.291,9.5,0,56,21,15025.6646,CR 557/CR 17,LEE JACKSON HWY,16,Polk,1,15025.6645676275
20,2024,4,937007,93000004,15900,F,F,F,F,F,747,3.663,5.638,9,0,58.6,4.7,3177.9786,N/A,SR-710/BEELINE HWY,93,Palm Beach,4,3177.97856414457
21,2024,3,460319,46630000,2300,F,F,F,F,F,202,0,1.653,9,0,55.7,8.8,2671.0505,DE AURRECOECHEA DR,N/A,46,Bay,3,2671.05048722411
22,2024,3,485268,48000034,2500,C,F,F,F,F,158,1.012,1.9,9,0,55.1,6.3,1467.41,US90/US98/SR10A/W CE,W JORDAN ST,48,Escambia,3,1467.41000024351
23,2024,7,155715,15000214,17500,X,F,F,W,F,805,0,1.255,9,0,99.9,4.6,2013.7846,US-19/34 ST N,CR-611/49 ST N,15,Pinellas,7,2013.78460890399
24,2024,5,777011,77501000,39500,C,F,F,F,A,909,0,3.025,9,0,52.3,2.3,4870.7183,SR 436,N/A,77,Seminole,5,4870.7182718424
25,2024,3,470006,47010000,6700,C,F,F,F,F,925,12.354,12.55,9.5,0,61.6,13.8,315.9305,SR-73,SW DEMONT RD,47,Calhoun,3,315.930520592864
26,2024,3,485288,48013002,13900,F,F,F,F,F,361,1.324,1.967,9,0,55.1,2.6,1039.9398,SR-742/HILBURN RD,SR-291/N DAVIS HWY,48,Escambia,3,1039.9397544079
27,2024,1,974034,16470021,5500,C,F,F,W,F,776,0,0.384,9,0,99.9,14.1,610.1315,SR 37/SO FLORIDA AVE,SR 570 WB,16,Polk,8,610.13151755988
28,2024,4,940085,94503000,2200,C,F,F,F,F,345,0,2.799,9.5,0,51.1,15.7,4506.3067,ANGLE RD,JOHNSON RD,94,St. Lucie,4,4506.30668925844
29,2024,2,299125,29550000,3500,F,F,F,F,D,623,0,10.736,9,0,54.1,17.8,17250.6413,SUWANNEE CO LINE,CSX RAILROAD,29,Columbia,2,17250.6412721771
30,2024,3,484018,48004000,23500,C,F,F,F,F,658,4.741,5.951,9,0,55.1,2.8,1955.8412,N 61ST AVE,US-90/SR-10A/MOBILE,48,Escambia,3,1955.84121937798
31,2024,3,485226,48000150,9400,F,F,F,F,F,592,0,1.741,9,0,55.1,6.3,2809.6042,CR-95A/N PALAFOX ST,CODY LN,48,Escambia,3,2809.60419616875
32,2024,7,159144,15000312,3300,X,F,F,W,F,195,0,2.831,9,0,99.9,5.9,4556.2471,BEACH DR NE,34 ST N,15,Pinellas,7,4556.24711549619
33,2024,4,937695,93612000,2200,S,F,F,F,F,103,0,2.027,9,0,61.5,4.7,3261.0189,AVE L,SR-80,93,Palm Beach,4,3261.01891321025
34,2024,3,465098,46600000,12300,C,F,F,F,F,1082,0,0.34,9,0,54.8,8.8,546.6142,SR-77/OHIO AVE,ILLINOIS AVE,46,Bay,3,546.614225025228
35,2024,2,339118,33560000,450,F,F,F,F,F,73,0,17.493,9.5,0,58,16.2,28153.719,E US-27/SR-20,N SR-51,33,Lafayette,2,28153.7189990987
36,2024,3,480200,48000017,4600,F,F,F,F,F,290,0,1.157,9,0,53.8,6.3,1859.7104,EDENDALE LN,US-29/SR-95,48,Escambia,3,1859.71040985921
37,2024,1,174501,17000124,10000,S,F,F,F,2,230,0,0.276,9,0,54,2.3,443.5093,TAMIAMI TRL,US-41 BYPASS,17,Sarasota,1,443.509325552247
38,2024,2,324401,32100011,2500,C,F,F,W,F,783,0,0.195,9.5,0,99.9,31.3,314.5941,GORE AT US-129/SR-51,GORE AT I-75 NB,32,Hamilton,2,314.594104097255
39,2024,1,174540,17000558,650,F,F,F,F,1,47,0,0.555,9,0,54,7.3,898.9318,SAFFORD TER,SR 45/US 41,17,Sarasota,1,898.93183098719
40,2024,7,159254,15000461,2000,X,F,F,F,F,118,0.51,1.037,9,0,53.4,5.9,849.0321,DR MLK JR ST N,77 AVE N,15,Pinellas,7,849.032097191732
41,2024,1,974040,16470000,45700,C,D,D,D,F,6444,8.737,10.139,9,0,56.3,14.1,2255.7043,Bridge No-160261,Bridge No-160263,16,Polk,8,2255.70431192455
